assay	trim	split_seed	model	pearson	spearman	ceiling	pearson_over_ceiling
HSS	171	split_seed0	cnn_mean_ens	0.7752278786915439	0.47789296209096804	0.9548127460666539	0.8119161394578058
HSS	171	split_seed0	kmer_elasticnet_mean_ens	0.7145813998341354	0.3657535042835208	0.9548127460666539	0.7483995189400746
HSS	171	split_seed0	kmer_mean_ens	0.7237402946307767	0.37638771398133336	0.9548127460666539	0.757991865538265
HSS	171	split_seed0	onehot_ridge_mean_ens	0.27946674273452704	0.2569668479135735	0.9548127460666539	0.292692723139473
HSS	171	split_seed1	cnn_mean_ens	0.6232586475574484	0.3986622247038013	0.9548127460666539	0.6527548465654226
HSS	171	split_seed1	kmer_elasticnet_mean_ens	0.5632964979931278	0.29608941584710535	0.9548127460666539	0.5899549417554644
HSS	171	split_seed1	kmer_mean_ens	0.5719374825668007	0.30213223619797985	0.9548127460666539	0.5990048676275994
HSS	171	split_seed1	onehot_ridge_mean_ens	0.20487980849926007	0.19289731303569033	0.9548127460666539	0.21457590437838348
HSS	171	split_seed2	cnn_mean_ens	0.653530253283317	0.4795375655902027	0.9548127460666539	0.6844590795164094
HSS	171	split_seed2	kmer_elasticnet_mean_ens	0.5730448989801329	0.4096793928047582	0.9548127460666539	0.6001646933818053
HSS	171	split_seed2	kmer_mean_ens	0.5867747313184188	0.4237839185052691	0.9548127460666539	0.614544300686846
HSS	171	split_seed2	onehot_ridge_mean_ens	0.09992869508381191	0.1204697103969367	0.9548127460666539	0.10465789810145251
HSS	171	split_seed3	cnn_mean_ens	0.6659668952585748	0.42155739453685676	0.9548127460666539	0.6974842952212588
HSS	171	split_seed3	kmer_elasticnet_mean_ens	0.5643417235683476	0.29329313423851794	0.9548127460666539	0.5910496334418978
HSS	171	split_seed3	kmer_mean_ens	0.5806114910799945	0.2887218108043437	0.9548127460666539	0.6080893803228126
HSS	171	split_seed3	onehot_ridge_mean_ens	0.1334436424990947	0.08003788528339943	0.9548127460666539	0.13975896640342841
HSS	171	split_seed4	cnn_mean_ens	0.6657391066780051	0.580904001916297	0.9548127460666539	0.6972457263693995
HSS	171	split_seed4	kmer_elasticnet_mean_ens	0.5738323815412313	0.45362675852155426	0.9548127460666539	0.6009894441660218
HSS	171	split_seed4	kmer_mean_ens	0.5751593570826665	0.4457871075674199	0.9548127460666539	0.6023792198543981
HSS	171	split_seed4	onehot_ridge_mean_ens	0.09912176810185214	0.09018943871824203	0.9548127460666539	0.10381278267407273
HSS	185	split_seed0	cnn_mean_ens	0.785131233206343	0.5108447529213336	0.9548127460666539	0.8222881779078537
HSS	185	split_seed0	kmer_elasticnet_mean_ens	0.7137053740228252	0.3680220186011109	0.9548127460666539	0.7474820345276398
HSS	185	split_seed0	kmer_mean_ens	0.7229780442587554	0.369272314971543	0.9548127460666539	0.7571935410760484
HSS	185	split_seed0	onehot_ridge_mean_ens	0.2794667535562446	0.2569668479135735	0.9548127460666539	0.2926927344733367
HSS	185	split_seed1	cnn_mean_ens	0.6230744433743631	0.37636095178477563	0.9548127460666539	0.6525619247764706
HSS	185	split_seed1	kmer_elasticnet_mean_ens	0.5580604680522459	0.28944737318893005	0.9548127460666539	0.5844711126356168
HSS	185	split_seed1	kmer_mean_ens	0.5665234912407622	0.2927512499858479	0.9548127460666539	0.5933346549619837
HSS	185	split_seed1	onehot_ridge_mean_ens	0.2048797899727499	0.19289731303569033	0.9548127460666539	0.21457588497509184
HSS	185	split_seed2	cnn_mean_ens	0.6460946984471867	0.4640614761690374	0.9548127460666539	0.6766716312792957
HSS	185	split_seed2	kmer_elasticnet_mean_ens	0.5736710757079102	0.40882258363902013	0.9548127460666539	0.6008205044090008
HSS	185	split_seed2	kmer_mean_ens	0.5849866843487868	0.4136565094349853	0.9548127460666539	0.6126716330072429
HSS	185	split_seed2	onehot_ridge_mean_ens	0.09992869580825466	0.1204697103969367	0.9548127460666539	0.10465789886018007
HSS	185	split_seed3	cnn_mean_ens	0.6662852178608553	0.41022191743718645	0.9548127460666539	0.6978176826876408
HSS	185	split_seed3	kmer_elasticnet_mean_ens	0.5689827627197258	0.2993639788796945	0.9548127460666539	0.5959103133715457
HSS	185	split_seed3	kmer_mean_ens	0.584500198557274	0.3006414572085823	0.9548127460666539	0.6121621238982402
HSS	185	split_seed3	onehot_ridge_mean_ens	0.13344356678724373	0.08003788528339943	0.9548127460666539	0.13975888710845535
HSS	185	split_seed4	cnn_mean_ens	0.6521758462655779	0.5583338525537304	0.9548127460666539	0.6830405741358323
HSS	185	split_seed4	kmer_elasticnet_mean_ens	0.5738432495471727	0.45496654098672634	0.9548127460666539	0.6010008265087756
HSS	185	split_seed4	kmer_mean_ens	0.5749229028506166	0.4441567043740036	0.9548127460666539	0.6021315752423797
HSS	185	split_seed4	onehot_ridge_mean_ens	0.0991217454517445	0.09018943871824203	0.9548127460666539	0.10381275895203118
ORI	171	split_seed0	cnn_mean_ens	0.7054008691540748	0.5152537062923055	0.9935749393233643	0.7099624207857546
ORI	171	split_seed0	kmer_elasticnet_mean_ens	0.6133399002021341	0.403356008016896	0.9935749393233643	0.6173061295404909
ORI	171	split_seed0	kmer_mean_ens	0.6177493778814983	0.3973446597394731	0.9935749393233643	0.621744121588043
ORI	171	split_seed0	onehot_ridge_mean_ens	0.16127291608271754	0.07013493675513467	0.9935749393233643	0.16231580497848125
ORI	171	split_seed1	cnn_mean_ens	0.7205652722693304	0.48649947344242483	0.9935749393233643	0.7252248861671606
ORI	171	split_seed1	kmer_elasticnet_mean_ens	0.638405119775188	0.37493223541157683	0.9935749393233643	0.642533436088826
ORI	171	split_seed1	kmer_mean_ens	0.6562320103841276	0.38663526722204994	0.9935749393233643	0.6604756062295905
ORI	171	split_seed1	onehot_ridge_mean_ens	0.2425460009194465	0.1536152580136422	0.9935749393233643	0.24411445107967705
ORI	171	split_seed2	cnn_mean_ens	0.7003965541798672	0.47528889284181736	0.9935749393233643	0.7049257448631355
ORI	171	split_seed2	kmer_elasticnet_mean_ens	0.6167762692165896	0.3739296835156336	0.9935749393233643	0.6207647202098526
ORI	171	split_seed2	kmer_mean_ens	0.6239469704241472	0.3737831996574346	0.9935749393233643	0.6279817915386051
ORI	171	split_seed2	onehot_ridge_mean_ens	0.26677580317295435	0.17623108887097058	0.9935749393233643	0.26850093799128194
ORI	171	split_seed3	cnn_mean_ens	0.8024495778953435	0.6455237576727996	0.9935749393233643	0.8076387055835171
ORI	171	split_seed3	kmer_elasticnet_mean_ens	0.6692754761970521	0.47016071297849793	0.9935749393233643	0.6736034190363499
ORI	171	split_seed3	kmer_mean_ens	0.6644149175009961	0.47330122263182295	0.9935749393233643	0.6687114290075293
ORI	171	split_seed3	onehot_ridge_mean_ens	0.22418275734748566	0.11509133853550549	0.9935749393233643	0.22563245959097625
ORI	171	split_seed4	cnn_mean_ens	0.7210537340847054	0.5969505108961337	0.9935749393233643	0.7257165066741228
ORI	171	split_seed4	kmer_elasticnet_mean_ens	0.6250570911550948	0.4171551225969044	0.9935749393233643	0.6290990909862981
ORI	171	split_seed4	kmer_mean_ens	0.6164823471961094	0.39111994530266514	0.9935749393233643	0.6204688975105801
ORI	171	split_seed4	onehot_ridge_mean_ens	0.1404729438013645	0.07246378652329548	0.9935749393233643	0.14138132740850745
ORI	185	split_seed0	cnn_mean_ens	0.7095958385548352	0.5307505294732893	0.9935749393233643	0.714184517413531
ORI	185	split_seed0	kmer_elasticnet_mean_ens	0.6191742127789613	0.41388676913053907	0.9935749393233643	0.6231781703357232
ORI	185	split_seed0	kmer_mean_ens	0.6207439042243179	0.40562439340110845	0.9935749393233643	0.6247580123619578
ORI	185	split_seed0	onehot_ridge_mean_ens	0.16127292879823563	0.07013493675513467	0.9935749393233643	0.1623158177762256
ORI	185	split_seed1	cnn_mean_ens	0.7201076649237519	0.48516503230844477	0.9935749393233643	0.7247643196537881
ORI	185	split_seed1	kmer_elasticnet_mean_ens	0.645508638555586	0.3762412747473212	0.9935749393233643	0.6496828905479286
ORI	185	split_seed1	kmer_mean_ens	0.6606498603808632	0.3885107666584496	0.9935749393233643	0.6649220247350172
ORI	185	split_seed1	onehot_ridge_mean_ens	0.24254599732866725	0.1536152580136422	0.9935749393233643	0.24411444746567762
ORI	185	split_seed2	cnn_mean_ens	0.7095950287272671	0.47529312647933764	0.9935749393233643	0.7141837023491245
ORI	185	split_seed2	kmer_elasticnet_mean_ens	0.606805790202882	0.37938218527790285	0.9935749393233643	0.6107297660065013
ORI	185	split_seed2	kmer_mean_ens	0.6163205812013048	0.3738301930339088	0.9935749393233643	0.6203060854383325
ORI	185	split_seed2	onehot_ridge_mean_ens	0.26677579847847227	0.17623108887097058	0.9935749393233643	0.2685009332664425
ORI	185	split_seed3	cnn_mean_ens	0.8018839800892076	0.6229995550459667	0.9935749393233643	0.8070694502774995
ORI	185	split_seed3	kmer_elasticnet_mean_ens	0.675745754874975	0.46545968585656217	0.9935749393233643	0.6801155384768113
ORI	185	split_seed3	kmer_mean_ens	0.6699576597247986	0.47096976042356464	0.9935749393233643	0.6742900139782585
ORI	185	split_seed3	onehot_ridge_mean_ens	0.22418275171234225	0.11509133853550549	0.9935749393233643	0.22563245391939257
ORI	185	split_seed4	cnn_mean_ens	0.7327862319193533	0.5976211190793339	0.9935749393233643	0.7375248739852366
ORI	185	split_seed4	kmer_elasticnet_mean_ens	0.6333115818793376	0.4299161528102997	0.9935749393233643	0.6374069602748131
ORI	185	split_seed4	kmer_mean_ens	0.6229466969696679	0.4014936273184181	0.9935749393233643	0.6269750497067705
ORI	185	split_seed4	onehot_ridge_mean_ens	0.14047295697569154	0.07246378652329548	0.9935749393233643	0.1413813406680277
pGL4	171	split_seed0	cnn_mean_ens	0.6953733721287692	0.475997624085318	0.9938114885299644	0.6997034952346528
pGL4	171	split_seed0	kmer_elasticnet_mean_ens	0.6376862878811527	0.41906286819445226	0.9938114885299644	0.6416571907660391
pGL4	171	split_seed0	kmer_mean_ens	0.6419344185409381	0.4171564628333142	0.9938114885299644	0.6459317747377632
pGL4	171	split_seed0	onehot_ridge_mean_ens	0.19242121714075067	0.09934433711255856	0.9938114885299644	0.19361943322407968
pGL4	171	split_seed1	cnn_mean_ens	0.6758211012014115	0.47154735200151215	0.9938114885299644	0.6800294713850401
pGL4	171	split_seed1	kmer_elasticnet_mean_ens	0.6009422996639906	0.3558498305596927	0.9938114885299644	0.6046843959842909
pGL4	171	split_seed1	kmer_mean_ens	0.6192380277820747	0.3556373022710978	0.9938114885299644	0.6230940524727131
pGL4	171	split_seed1	onehot_ridge_mean_ens	0.23775967558464764	0.1819369159309811	0.9938114885299644	0.23924021640798224
pGL4	171	split_seed2	cnn_mean_ens	0.6718457069782038	0.4841062141425791	0.9938114885299644	0.6760293221926735
pGL4	171	split_seed2	kmer_elasticnet_mean_ens	0.5682147421719728	0.30513884293643073	0.9938114885299644	0.5717530424330978
pGL4	171	split_seed2	kmer_mean_ens	0.5948322379147162	0.31898323461574285	0.9938114885299644	0.5985362865895079
pGL4	171	split_seed2	onehot_ridge_mean_ens	0.2755548019695077	0.20862521562408223	0.9938114885299644	0.2772706948448599
pGL4	171	split_seed3	cnn_mean_ens	0.7540016322738623	0.5919805184993159	0.9938114885299644	0.7586968363478809
pGL4	171	split_seed3	kmer_elasticnet_mean_ens	0.6486433955438041	0.4330862089087032	0.9938114885299644	0.6526825288599457
pGL4	171	split_seed3	kmer_mean_ens	0.6531921979930665	0.4172320864790863	0.9938114885299644	0.6572596569186996
pGL4	171	split_seed3	onehot_ridge_mean_ens	0.22434982351694197	0.1326313681571887	0.9938114885299644	0.2257468605527975
pGL4	171	split_seed4	cnn_mean_ens	0.7342280694743635	0.5542173520422268	0.9938114885299644	0.7388001426310999
pGL4	171	split_seed4	kmer_elasticnet_mean_ens	0.6288240968590127	0.3988968852759576	0.9938114885299644	0.6327398144583364
pGL4	171	split_seed4	kmer_mean_ens	0.6359398916456159	0.394335148573048	0.9938114885299644	0.6398999196379704
pGL4	171	split_seed4	onehot_ridge_mean_ens	0.23189357305499197	0.1423973101206714	0.9938114885299644	0.23333758537849722
pGL4	185	split_seed0	cnn_mean_ens	0.697860228318995	0.4991124186461475	0.9938114885299644	0.7022058371968134
pGL4	185	split_seed0	kmer_elasticnet_mean_ens	0.6419274183814825	0.4278074390881468	0.9938114885299644	0.6459247309879813
pGL4	185	split_seed0	kmer_mean_ens	0.6458124205467946	0.4280563767635519	0.9938114885299644	0.6498339252468026
pGL4	185	split_seed0	onehot_ridge_mean_ens	0.19242122920567364	0.09934433711255856	0.9938114885299644	0.1936194453641315
pGL4	185	split_seed1	cnn_mean_ens	0.6887931004134301	0.49841312916815683	0.9938114885299644	0.6930822478539523
pGL4	185	split_seed1	kmer_elasticnet_mean_ens	0.6117513498923525	0.36757952929238297	0.9938114885299644	0.6155607546832134
pGL4	185	split_seed1	kmer_mean_ens	0.6273278325902724	0.37129369398529755	0.9938114885299644	0.6312342328807339
pGL4	185	split_seed1	onehot_ridge_mean_ens	0.23775963707660877	0.1819369159309811	0.9938114885299644	0.239240177660152
pGL4	185	split_seed2	cnn_mean_ens	0.6786994441285363	0.5099254267340757	0.9938114885299644	0.6829257378906552
pGL4	185	split_seed2	kmer_elasticnet_mean_ens	0.5636865641369908	0.3052679686347944	0.9938114885299644	0.5671966672178343
pGL4	185	split_seed2	kmer_mean_ens	0.5912849105509622	0.3171250946481424	0.9938114885299644	0.5949668698493159
pGL4	185	split_seed2	onehot_ridge_mean_ens	0.275554781852178	0.20862521562408223	0.9938114885299644	0.2772706746022586
pGL4	185	split_seed3	cnn_mean_ens	0.7571421635765934	0.5927616244564469	0.9938114885299644	0.761856923888604
pGL4	185	split_seed3	kmer_elasticnet_mean_ens	0.6520713029052417	0.44867784586763115	0.9938114885299644	0.6561317819637795
pGL4	185	split_seed3	kmer_mean_ens	0.6571160476801577	0.4345527406352625	0.9938114885299644	0.6612079406046684
pGL4	185	split_seed3	onehot_ridge_mean_ens	0.22434984221885396	0.1326313681571887	0.9938114885299644	0.22574687937116716
pGL4	185	split_seed4	cnn_mean_ens	0.7347258506252712	0.5643797583361146	0.9938114885299644	0.7393010234889416
pGL4	185	split_seed4	kmer_elasticnet_mean_ens	0.6294499142822662	0.399829130679188	0.9938114885299644	0.6333695288764893
pGL4	185	split_seed4	kmer_mean_ens	0.6395510886734503	0.40459154146072207	0.9938114885299644	0.6435336037616829
pGL4	185	split_seed4	onehot_ridge_mean_ens	0.23189356019460788	0.1423973101206714	0.9938114885299644	0.2333375724380309
